id;url;task_id;device_id;account_id;last_update
1;http://melyssa.info;44358;97650;14675;2021-04-06T05:05:02
2;https://karli.org;71857;26911;63104;2021-04-06T19:39:53
3;https://holden.com;92108;70290;98980;2021-04-06T08:32:43
4;http://laron.org;58244;26372;20957;2021-04-06T05:23:40
5;http://rosemarie.info;6166;48852;82000;2021-04-07T02:33:19
6;https://cloyd.biz;65539;80888;97953;2021-04-06T15:05:22
7;https://wava.name;75981;10094;82204;2021-04-06T08:23:27
8;http://tod.com;53471;60462;91835;2021-04-06T22:37:08
9;https://luis.org;31909;87283;75745;2021-04-06T09:34:03
10;http://alicia.biz;14245;46613;52675;2021-04-06T05:57:21
